time_ms,angle_deg,session_idx,trial_id
0.0,0.87890625,0,150.0
22.0,0.87890625,0,150.0
70.0,0.87890625,0,150.0
102.0,0.87890625,0,150.0
134.0,0.87890625,0,150.0
166.0,0.87890625,0,150.0
198.0,0.87890625,0,150.0
230.0,0.87890625,0,150.0
262.0,0.87890625,0,150.0
294.0,0.87890625,0,150.0
326.0,1.171875,0,150.0
358.0,2.05078125,0,150.0
390.0,2.05078125,0,150.0
422.0,2.34375,0,150.0
454.0,2.63671875,0,150.0
486.0,2.9296875,0,150.0
518.0,3.22265625,0,150.0
550.0,3.515625,0,150.0
582.0,3.80859375,0,150.0
614.0,4.1015625,0,150.0
646.0,4.1015625,0,150.0
678.0,4.1015625,0,150.0
710.0,3.80859375,0,150.0
742.0,3.515625,0,150.0
774.0,3.22265625,0,150.0
806.0,2.63671875,0,150.0
838.0,2.34375,0,150.0
870.0,1.46484375,0,150.0
902.0,0.0,0,150.0
934.0,-1.7578125,0,150.0
966.0,-3.22265625,0,150.0
998.0,-4.1015625,0,150.0
1030.0,-4.39453125,0,150.0
1062.0,-4.39453125,0,150.0
1094.0,-4.6875,0,150.0
1190.0,-4.6875,0,150.0
1206.0,-4.6875,0,150.0
1222.0,-4.6875,0,150.0
1238.0,-4.6875,0,150.0
1254.0,-4.6875,0,150.0
1270.0,-4.6875,0,150.0
1286.0,-4.6875,0,150.0
1302.0,-4.6875,0,150.0
1318.0,-4.6875,0,150.0
1334.0,-4.6875,0,150.0
1350.0,-4.98046875,0,150.0
1366.0,-4.6875,0,150.0
1382.0,-4.6875,0,150.0
1398.0,-4.6875,0,150.0
1414.0,-4.6875,0,150.0
1430.0,-4.6875,0,150.0
1446.0,-4.6875,0,150.0
1462.0,-4.6875,0,150.0
1478.0,-4.6875,0,150.0
1494.0,-4.6875,0,150.0
1510.0,-4.6875,0,150.0
1526.0,-4.6875,0,150.0
1542.0,-4.6875,0,150.0
1558.0,-4.6875,0,150.0
1574.0,-4.6875,0,150.0
1590.0,-4.6875,0,150.0
1606.0,-4.6875,0,150.0
1622.0,-4.6875,0,150.0
1638.0,-4.6875,0,150.0
1654.0,-4.6875,0,150.0
1670.0,-4.6875,0,150.0
1686.0,-4.6875,0,150.0
1702.0,-4.6875,0,150.0
1718.0,-4.6875,0,150.0
1734.0,-4.6875,0,150.0
1750.0,-4.6875,0,150.0
1766.0,-4.6875,0,150.0
