Category,Mean,SEM,STD
Push Easy,0.21191695443970168,0.02560391616781142,0.175531605664139
Push Mid,0.33123679383781796,0.03333594064411523,0.22853969483552466
Push Diff,0.43924703061058823,0.037991980120430174,0.26045989329097213
Pull Diff,0.6590667795964502,0.03967097170718612,0.27197047968675014
Pull Mid,0.793297184295216,0.02979141645478678,0.20423966127072235
Pull Easy,0.8972620949966034,0.02278546025198389,0.15620924539876846
