time_bin,Push Easy,Push Mid,Push Diff,Pull Easy,Pull Mid,Pull Diff
0.0,0.03800361020437128,-0.010523969889064975,-0.025786573679727427,0.007280285989717224,0.027665717112445413,-0.016927083333333332
32.0,0.0562863588902148,0.026667193426042984,-0.015357232862903226,-0.02004609506449804,0.012612430811808118,-0.016978460234278667
64.0,0.23576544286011658,0.13136266252955084,0.07855865713065756,-0.13982599431818182,-0.12320446210268948,-0.11833733646770238
96.0,0.3985608552631579,0.27965198863636365,0.14205312770095074,-0.26972515379719986,-0.21575777401477833,-0.18112107450738915
128.0,0.45355153485110056,0.30267126918416803,0.23637251420454544,-0.3773006442472198,-0.2922423811983471,-0.21691425813856427
160.0,0.5674000967920354,0.3894073410224439,0.3324524090296496,-0.4291534423828125,-0.30206257864932884,-0.20745756662436549
192.0,0.7234833931010929,0.5642822058198811,0.5274525591922006,-0.520163771881838,-0.32543757992327366,-0.252136868466899
224.0,0.8028988685866408,0.76796875,0.6202517531988189,-0.6453842982256597,-0.40845114087301587,-0.27066012041284404
256.0,0.9024496955047715,0.7692845782280867,0.4832122285487288,-0.7678649475524476,-0.4736020477047705,-0.2856664381854437
288.0,0.7769493488184748,0.6382953689759037,0.16272243290548424,-0.7123475515143992,-0.44015805461982677,-0.24169921875
320.0,0.6748475827153452,0.5033620747840173,0.037838674872122766,-0.7114514802631579,-0.43217439829192544,-0.1429546310240964
352.0,0.5607509328358209,0.3194173177083333,-0.016645951704545456,-0.7040726959007251,-0.3946848665730337,-0.13135723039215685
384.0,2.287695122322298,1.8136692683508102,1.3733878968253967,-1.9311021858576207,-1.4271212699718046,-0.85048828125
416.0,4.397991110194512,3.6426934670275593,2.2407682120565044,-3.628964047275352,-2.5933233788395906,-1.3533717902131783
448.0,4.717059627242152,3.9103879766949152,2.3146120592224233,-4.051668681795635,-2.961935925839552,-1.615406576276102
480.0,4.732026087555066,3.8094458987783595,2.212074848353553,-4.243435065725413,-3.1426266278013326,-1.6684462542444822
512.0,4.766007379932701,3.7146747608153077,2.138588408119658,-4.380566878019324,-3.295157737209994,-1.762236524748322
544.0,4.726882684426229,3.566918132384533,1.997777035361842,-4.606800925202998,-3.5162919749573134,-1.8327361685798185
576.0,4.637806128102837,3.5260216664459745,1.872424799918611,-4.75419352685383,-3.598391956278027,-1.987145855194124
608.0,4.6227574174218065,3.444221528504184,1.8448483090185677,-4.8979645459641254,-3.748810768650576,-2.120816025888717
640.0,4.601212939834926,3.390825164984472,1.735785932570978,-5.0086438390471955,-3.8184902815013406,-2.1682065734398783
672.0,4.544285739839725,3.3546730324074074,1.7068814830619747,-5.100553366369222,-3.8966892482517483,-2.249554984177215
704.0,4.534330656374786,3.3037124330015315,1.5231980975485189,-5.2319090746054515,-3.990888846812434,-2.276108039730135
736.0,4.5125510475852275,3.3275426280425964,1.5474873953576864,-5.295351829138225,-4.05920741453549,-2.3016669012762763
768.0,4.5197471014237385,3.299344266141141,1.4268226546780685,-5.371939849427054,-4.121325067584964,-2.3615404627815866
800.0,4.501931411548083,3.325283027694611,1.4097481343283582,-5.447342196990613,-4.174581160986775,-2.3911966463414633
832.0,4.526551573426573,3.2803134365634365,1.4030582365067465,-5.464093293481257,-4.153702272437532,-2.4068047675695463
864.0,4.488682309056761,3.2493557299405644,1.3648484281437125,-5.534048507462686,-4.244709256329114,-2.4761493389423075
896.0,4.538957012951227,3.2744836455773956,1.3449465440079562,-5.559971741119848,-4.267490409805389,-2.528201446897375
928.0,4.502347641117875,3.239107131958008,1.4118801077265972,-5.590162606074892,-4.307279775494672,-2.562152488701237
960.0,4.572755245474492,3.2171070604662457,1.4142413825286213,-5.613394779332616,-4.361473091148445,-2.540629424256725
992.0,4.5592106954346034,3.217673788265306,1.3699831873149062,-5.654194245149555,-4.323824793025589,-2.5798719977520115
1024.0,4.576737673895254,3.2387190684133915,1.4424402573529411,-5.693496700053064,-4.3791652492577935,-2.562888965903728
1056.0,4.598651439032698,3.2679474811618863,1.4006669020137525,-5.724601593625498,-4.355003720238095,-2.607091148283161
1088.0,4.611867117952523,3.264227092352092,1.426511390186916,-5.7324038429833815,-4.42679526179941,-2.6176091037071796
1120.0,4.648495518836079,3.262124275712216,1.4243451286764706,-5.769972477290679,-4.410277598002959,-2.644677620023419
1152.0,4.682989135940033,3.2780979827089336,1.4346156784841075,-5.782754766116352,-4.442233861574302,-2.6257768732492996
1184.0,4.6850506927588995,3.2786276618142445,1.4694124634502923,-5.808802097017867,-4.471295387634936,-2.67246994352585
1216.0,4.710236459175424,3.2994866714697406,1.4737259321515892,-5.833493286069001,-4.477826286764706,-2.6897760826771653
1248.0,4.734384455688542,3.293237631453155,1.437186359489051,-5.84833824532346,-4.618273517103348,-2.710773235328096
1280.0,4.75519889794686,3.3123147898706895,1.4642751546579331,-5.868515990639626,-4.50703581871345,-2.7183768602907246
1312.0,4.780728048698685,3.3073819162284894,1.4632801128093158,-5.887953629032258,-4.561354771407838,-2.6991502825184504
1344.0,4.805108925479488,3.3217075892857144,1.4791279406387128,-5.926665438349141,-4.679129464285714,-2.739802839343133
1376.0,4.837538114836044,3.30970581638756,1.5165441176470589,-5.918616111575026,-4.665506195861405,-2.738520996769728
1408.0,4.860984672934322,3.3076171875,1.5139777861445782,-5.951254541687915,-4.632524533269507,-2.772245367714548
1440.0,4.868950113996828,3.304344133979206,1.52777462808418,-5.969490068754775,-4.614749370805369,-2.800074268738574
