Difficulty,Condition,Success_Rate,SEM_Success_Rate
Easy,COM_force_success_rate,0.7142224191404519,0.009509661042344268
Easy,wo_COM_force_success_rate,0.9624394184168013,0.0038210043748054196
Mid,COM_force_success_rate,0.485973597359736,0.014356472420268785
Mid,wo_COM_force_success_rate,0.9628751974723538,0.005313739052786964
Diff,COM_force_success_rate,0.24312333629103816,0.012778030573729674
Diff,wo_COM_force_success_rate,0.9358161648177497,0.006898877379652679
