force,linear_velocity_next_step,push resistance,pull resistance,force_positive
4.18229177,0.0,8,16,True
5.5444917700000005,0.0,8,16,True
6.90669177,0.0,8,16,True
5.5444917700000005,0.0,8,16,True
-10.801908229999999,4.793689962142628,8,16,False
0.09569177,0.0,8,16,True
2.82009177,-4.793689962142628,8,16,True
-14.888508230000001,0.0,8,16,False
-2.62870823,0.0,8,16,False
21.890891770000003,0.0,8,16,True
12.35549177,14.381069886427886,8,16,True
25.97749177,28.76213977285577,8,16,True
20.528691770000002,23.968449810713146,8,16,True
24.61529177,23.968449810713146,8,16,True
-2.62870823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-8.07750823,0.0,8,32,False
6.90669177,0.0,8,32,True
6.90669177,0.0,8,32,True
4.18229177,4.793689962142628,8,32,True
6.90669177,0.0,8,32,True
4.18229177,0.0,8,32,True
8.26889177,4.793689962142628,8,32,True
8.26889177,9.587379924285257,8,32,True
8.26889177,4.793689962142628,8,32,True
1.45789177,4.793689962142628,8,32,True
4.18229177,0.0,8,32,True
1.45789177,0.0,8,32,True
4.18229177,0.0,8,32,True
5.5444917700000005,0.0,8,32,True
4.18229177,0.0,8,32,True
2.82009177,0.0,8,32,True
1.45789177,0.0,8,32,True
-2.62870823,0.0,8,32,False
-1.26650823,0.0,8,32,False
0.09569177,0.0,8,32,True
-1.26650823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
0.09569177,0.0,8,32,True
-1.26650823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
0.09569177,0.0,8,32,True
-1.26650823,0.0,8,32,False
-5.35310823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-5.35310823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-5.35310823,4.793689962142628,8,32,False
-3.9909082299999996,-4.793689962142628,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-5.35310823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-1.26650823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-2.62870823,0.0,8,32,False
-2.62870823,0.0,8,32,False
-3.9909082299999996,0.0,8,32,False
-1.26650823,0.0,8,32,False
5.5444917700000005,0.0,8,32,True
-9.43970823,0.0,8,32,False
-5.35310823,4.793689962142628,8,32,False
-40.770308230000005,-4.793689962142628,8,32,False
-76.18750823,-9.587379924285257,8,32,False
-96.62050823,-23.968449810713146,8,32,False
-55.75450823,-28.76213977285577,8,32,False
-24.423908230000002,-14.381069886427886,8,32,False
4.18229177,-4.793689962142628,8,32,True
6.90669177,0.0,8,32,True
5.5444917700000005,0.0,8,32,True
1.45789177,4.793689962142628,8,32,True
-2.62870823,0.0,8,32,False
-25.786108229999996,0.0,8,32,False
-43.49470823,-4.793689962142628,8,32,False
-65.28990823000001,-9.587379924285257,8,32,False
-27.148308229999998,-19.174759848570513,8,32,False
24.61529177,-4.793689962142628,8,32,True
35.512891769999996,28.76213977285577,8,32,True
57.30809177,38.34951969714103,8,32,True
47.77269177,62.31796950785417,8,32,True
58.67029177,71.90534943213943,8,32,True
-16.25070823,-5.681410325502375,32,8,False
-21.69950823,-15.978966540475428,32,8,False
-8.07750823,-19.174759848570513,32,8,False
-3.9909082299999996,-9.587379924285257,32,8,False
-3.9909082299999996,-4.793689962142628,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
0.09569177,0.0,32,8,True
0.09569177,0.0,32,8,True
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,-9.296853259912979,32,8,False
-1.26650823,9.587379924285257,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,-9.587379924285257,32,8,False
-2.62870823,9.896650244423492,32,8,False
-1.26650823,0.0,32,8,False
0.09569177,0.0,32,8,True
-3.9909082299999996,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
0.09569177,0.0,32,8,True
-1.26650823,0.0,32,8,False
0.09569177,0.0,32,8,True
0.09569177,0.0,32,8,True
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,-14.381069886427886,32,8,False
-1.26650823,4.793689962142628,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,9.587379924285257,32,8,False
-1.26650823,-9.587379924285257,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,9.587379924285257,32,8,False
-2.62870823,-9.587379924285257,32,8,False
-2.62870823,0.0,32,8,False
-3.9909082299999996,9.587379924285257,32,8,False
-1.26650823,-9.587379924285257,32,8,False
-2.62870823,9.587379924285257,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,-9.587379924285257,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,9.587379924285257,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,-9.587379924285257,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-3.9909082299999996,9.587379924285257,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-3.9909082299999996,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-2.62870823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,-9.587379924285257,32,8,False
-3.9909082299999996,0.0,32,8,False
-1.26650823,0.0,32,8,False
5.5444917700000005,0.0,32,8,True
25.97749177,0.0,32,8,True
61.39469177,9.587379924285257,32,8,True
95.44969177,14.381069886427886,32,8,True
68.20569177,19.174759848570513,32,8,True
54.583691769999994,23.968449810713146,32,8,True
4.18229177,14.381069886427886,32,8,True
5.5444917700000005,0.0,32,8,True
2.82009177,0.0,32,8,True
-1.26650823,0.0,32,8,False
1.45789177,0.0,32,8,True
0.09569177,0.0,32,8,True
0.09569177,0.0,32,8,True
0.09569177,0.0,32,8,True
0.09569177,0.0,32,8,True
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
0.09569177,0.0,32,8,True
0.09569177,0.0,32,8,True
-1.26650823,0.0,32,8,False
-2.62870823,0.0,32,8,False
