Category,successes,nobs,conf_low,conf_high,mean,std,CI_accuracy,yerr
Push Easy,0,5103,0.0,0.000752218147297101,0.0,0.0,0.000752218147297101,"(0.0, 0.000752218147297101)"
Push Mid,98,2448,0.0329603805246031,0.04854630013851587,0.04003267973856209,0.003962140289620899,0.008513620399953785,"(0.007072299213958987, 0.008513620399953785)"
Push Diff,870,2558,0.32200266704011793,0.3586957629179348,0.34010946051602814,0.009366881741895922,0.018586302401906674,"(0.01810679347591021, 0.018586302401906674)"
Pull Diff,1602,2449,0.6350782145792679,0.6727280634355361,0.6541445487954267,0.009611469305563123,0.018583514640109433,"(0.019066334216158776, 0.018583514640109433)"
Pull Mid,2467,2595,0.9416561026045356,0.9583603228150415,0.950674373795761,0.004250925720502844,0.007685949019280436,"(0.009018271191225447, 0.007685949019280436)"
Pull Easy,4847,4847,0.9992080840296874,0.9999999999999999,1.0,0.0,1.1102230246251565e-16,"(0.0007919159703125844, 1.1102230246251565e-16)"
