Category,Mean,STD,CI
Push Easy,0.09221311475409832,0.28932655637090393,0.022582227870478366
Push Mid,0.1620553359683794,0.3685015658753096,0.029541635534127697
Push Diff,0.33999999999999997,0.4737087712930805,0.04016114154628592
Pull Diff,0.678,0.4672429774753174,0.03946390757449858
Pull Mid,0.7995951417004049,0.40030332383021044,0.03292763609129845
Pull Easy,0.919921875,0.27141410961201773,0.020502602946490756
